S/NO,PHASE,NAME OF ANALYST,"DOCUMENT TYPE (book, Journal article, Report, Statutes, Newspaper)",TITTLE OF PUBLICATION,AUTHOR,APPLICABLE NOMENCLATURE(KEY NAME USED),YEAR OF PUBLICATION,NATIONALITY/ORIGIN/EXTRACTION OF AUTHOR,CONTINENT OF STUDY,SECTION OF THE ARTICLE ANALYSED,BRIEF DESCRIPTION OF THE ARTICLE,"DESCRIPTIVE TERMS/ADJECTIVES/ADJECTIVAL PHRASES (e.g. filthy, dirty, undesirable)",POSITIONALITY OF ARTICLE,USE OF STATISTICS,SOURCE OF STATISTICS,CITE 'UN-habitat 2003 STUDY ON SLUMS',"CATEGORISATION OF PUBLICATION( descriptive, diagnostic(identify problems), Prescriptive, theoretical)","Descriptive studies( nature of slums(conceptualization), health concerns, housing, water, sanitation, nutrition,land, approaches to slum Upgrading)","Diagnostic (strategies, policy gaps/challenges, tenure concerns, public health concerns, environmental concerns, marginalisation(inclusion, exclusion)]","Prescriptive[inclusivity/tackling marginalisation, slum upgrading/improvement, security improvement,","Theoretical( theories, liberal/neo-liberal theories, colonial/post colonial theories, political economy)",REFERENCE{MENDELEY},SOURCE/WEB LINK
1020,III,CLINTON PATROBA,Thesis,Resident's perception of urban integration: the case of Dukathole informal settlement,"Mmonwa, Maema Simon",Informal Settlements,2008,African,African,Abstract,"·       Integration of Dukathole Informal Settlement with EMM: The study explores residents' perceptions of the integration of Dukathole informal settlement with the Ekurhuleni Metropolitan Municipality (EMM) in South Africa. Findings indicate spatial, economic, and social integration, emphasizing the significance of the settlement's location and the economic challenges faced by residents.",economic challlenges,Negative,Yes,,No,Diagnostic,,,,,"Mmonwa, M. S. (2008). Residents perception of urban integration: the case of Dukathole informal settlement. http://hdl.handle.net/10539/5518",http://hdl.handle.net/10539/5518
1021,III,CLINTON PATROBA,Thesis,Actors in Environmental Crime in City Slums of Kenya; the Case of Illegal Dumping in Mathare Slum of Nairobi,"Irungu, Irungu S",Slums,2016,African,African,Abstract,"·       Illegal Dumping in Mathare Slum, Kenya: Investigating illegal dumping in Mathare slum, Kenya, the study reveals that a significant portion of households engages in improper waste disposal. Lack of education and inefficient waste management contribute to the problem. Improving public education, providing communal trash bins, and regular waste collection are recommended solutions.","·       Illegal Dumping, Improper waste disposal, inefficient waste management.",Negative,Yes,,No,Diagnostic,,Waste management,,,"Irungu, I. S. (2016). Actors in Environmental Crime in City Slums of Kenya; the Case of Illegal Dumping in Mathare Slum of Nairobi [University of Nairobi]. http://hdl.handle.net/11295/99782",http://hdl.handle.net/11295/99782
1022,III,CLINTON PATROBA,Report,"Prostitutes' testimony (Milwaukee, July 13-18, 1914)","Subjects, Wisconsin. Legislature. Committee on White Slave Traffic and Kindred",Slums,1914,African,African,Abstract,"·       Prostitution Investigation in Wisconsin, 1913: The historical investigation in Wisconsin, 1913, focused on the causes of prostitution and vice. Testimonies from madams and prostitutes provide insights into the lives of women involved in the ""sporting life,"" offering a unique perspective on the social conditions and attitudes of the time.","·       Prostitution Investigation in Wisconsin, 1913: historical, unique",Negative,Yes,,No,Diagnostic,Economy of slums,,,,"Subjects, Wisconsin. Legislature. C. on W. S. T. and K. (1914). Prostitutes testimony (Milwaukee, July 13-18, 1914). Wisconsin. Legislature. http://cdm15932.contentdm.oclc.org/u?/tp,63613","http://cdm15932.contentdm.oclc.org/u?/tp,63613"
1023,III,CLINTON PATROBA,Journal,The Urban Land Nexus Challenges and Opportunities of Regularising Informal Settlements: The Case Studies of Dar es Salaam and Mwanza in Tanzania,"Magina, Fredrick Bwire",Informal Settlements,2020,African,African,Abstract,"·       Regularisation in Tanzanian Informal Settlements: Evaluating the regularisation process in Tanzanian settlements, the study explores challenges and opportunities. While regularisation enhances security of tenure and land value, challenges include a focus on private rights over public interests and delays in the process. Policy actions are recommended to address weaknesses.",·   Informal Settlements: challenging private interests.,Neutral,Yes,,Yes,Diagnostic,,Land tenure concerns,,,"Magina, F. B., Kyessi, A., & Kombe, W. (2020). The Urban Land Nexus Challenges and Opportunities of Regularising Informal Settlements: The Case Studies of Dar es Salaam and Mwanza in Tanzania. https://journals.uct.ac.za/index.php/JARER/article/view/837",https://journals.uct.ac.za/index.php/JARER/article/view/837
1024,III,CLINTON PATROBA,Thesis,Co-production and enterprise culture: negotiating local urban development culture in Santo Domingos barrios populares,"Tabory, Samuel Hart",Slums,2016,North American,North American,Abstract,"·       Urban Development Culture in Santo Domingo, Dominican Republic: The study examines how key actors understand and articulate values and principles in urban development in Santo Domingo. Entrepreneurial capacity, self-management, and financial sustainability emerge as crucial factors influencing local government support. The findings contribute to understanding the ""rules of the game"" in the city's urban development culture",Financial sustainability,Neutral,Yes,,No,Diagnostic,slum upgrading,,,,"Tabory, S. H. (2016). Co-production and enterprise culture: negotiating local urban development culture in Santo Domingos barrios populares. http://hdl.handle.net/2152/38715",http://hdl.handle.net/2152/38715
1025,III,CLINTON PATROBA,Report,The Inter/Transdisciplinary Framework for Urban Governance Intervention in the Egyptian Informal Settlements,"Nachar, Eman El",Informal Settlements,2023,African,African,Abstract,"·       To achieve Sustainable Development Goal 11, focusing on inclusive, safe, resilient, and sustainable cities and human settlements, understanding the complex nature of informal settlements is crucial. This paper proposes an integrative framework for urban governance in Egypt's informal settlements, emphasizing an inter/trans-disciplinary approach that combines social/behavioral, economic, public health, and built environment disciplines. The study explores three bottom-up perspectivessocioeconomic, morphological, and sociophysicalresulting in an integrative model for examining informal domains. The proposed integrative agenda involves six analysis tasks with the collaboration of interdisciplinary groups, aiming to enhance the quality of life in informal settlements.","·  inclusive, safe, resilient, sustainable, complex, crucial.",Neutral,Yes,,No,Diagnostic,slum upgrading,,,,"Nachar, E. el, & Abouelmagd, D. (2023). The Inter/Transdisciplinary Framework for Urban Governance Intervention in the Egyptian Informal Settlements. Multidisciplinary Digital Publishing Institute. https://doi.org/10.3390/buildings13020265",https://doi.org/10.3390/buildings13020265
1026,III,CLINTON PATROBA,Report,Report and recommendations of the Wisconsin Legislative Committee to Investigate the White Slave Traffic and Kindred Subjects,"Subjects, Wisconsin Legislature Committee on White Slave Traffic and Kindred",Slums,1914,North American,North American,Abstract,"·       In 1913, a legislative committee in Wisconsin conducted extensive research on prostitution with the goal of eliminating it. Chaired by Sen. Howard Teasdale, the committee sent questionnaires, examined witnesses, conducted interviews, and sent undercover investigators. The report sheds light on often-hidden classes of people and addresses various aspects of prostitution, including economic, political, legal, causes, and public health consequences. The document provides insights into the social conditions and economic factors related to prostitution in Wisconsin, offering historical perspectives on a significant social issue.",Prostitution,Neutral,Yes,,No,Diagnostic,Nature of slums,,,,"Subjects, W. L. C. on W. S. T. and K. (1914). Report and recommendations of the Wisconsin Legislative Committee to Investigate the White Slave Traffic and Kindred Subjects. The Committee. http://cdm15932.contentdm.oclc.org/u?/tp,26835","http://cdm15932.contentdm.oclc.org/u?/tp,26835"
1027,III,CLINTON PATROBA,Report,"Urbanization of the Bangkok region, Thailand","Associates, Thai University Research",Slums,1975,Asian,Asian,Abstract,"Prepared for the International Development Research Centre Cooperative Regional Development Project ; Compilation of papers on the social conditions and economic conditions in the urban area of Bangkok, Thailand - discusses taxes, public expenditures and the relationship between the local government and central government; relationship between crime and existing socio-economic factors; survey questionnaire on internal migration; housing situation especially in slum areas; economic model of the Thai economy. Bibliography, statistical data.",Crime,Neutral,Yes,,No,Diagnostic,,,Security concerns,,"Associates, T. U. R. (1975). Urbanization of the Bangkok region, Thailand. Thai University Research Associates, Bangkok, TH. http://hdl.handle.net/10625/994",http://hdl.handle.net/10625/994
1028,III,CLINTON PATROBA,Thesis,The Representation and Other Imaginings of Pacification: From Government Speeches to Lived Experiences in Rio de Janeiro's Favelas,"Ritter, Juliana de Souza",Slums,2017,South American,South American,Abstract,"·       The Rio de Janeiro government's 2008 project aimed at pacifying favelas through Pacifying Police Units (UPPs) involved physical occupation and a significant propaganda campaign, creating a specific image of favelas requiring pacification. However, the project fell short of its goals due to the vastness of favelas, making a uniform military approach challenging. The author, reflecting on a long-standing interest in pacification since high school, explores the current state of the military project, questioning its efficacy and impact.",Favelas,Neutral,Yes,,No,Diagnostic,slum upgrading,,,,"Ritter, J. de S. (2017). The Representation and Other Imaginings of Pacification: From Government Speeches to Lived Experiences in Rio de Janeiros Favelas [University of North Carolina at Chapel Hill]. https://doi.org/10.17615/h675-m844",https://doi.org/10.17615/h675-m844
1029,III,CLINTON PATROBA,Journal,How Does Work Shape Informal Cities? The Critical Design of Cities and Housing in Brazilian Slums,"Chagas Cavalcanti, A R (author)",Informal Settlements,2016,South American,South American,Abstract,"·  In response to the 2016 Venice Biennale's conference on shaping cities in the urban age, this essay discusses the role of contemporary architecture and urban design in addressing global crises, housing shortages, and social movements. It suggests that understanding the importance of labor in slums can assist planners and architects in designing with social impact. The essay emphasizes the role of labor practices in shaping slums and the need for a more socially focused architectural education.",Housing shortages,Neutral,Yes,,Yes,Diagnostic,,,Housing concerns,,"Chagas Cavalcanti, A. R. (author). (2016). How Does Work Shape Informal Cities? The Critical Design of Cities and Housing in Brazilian Slums. http://resolver.tudelft.nl/uuid:d436609f-4ab0-4b2f-9533-64771855a695",http://resolver.tudelft.nl/uuid:d436609f-4ab0-4b2f-9533-64771855a695
1030,III,CLINTON PATROBA,Report,Understanding Standard of Living and Correlates in Slums: An Analysis using Monetary Versus Multidimensional Approaches in Three Indian Cities,"Bag, Sugata",Slums,2016,Asian,Asian,Abstract,"·       Examining slum living conditions in Kolkata, Mumbai, and Delhi, this study utilizes household survey data to explore the monetary and non-monetary aspects of slum dwellers' lives. The research reveals variations in living standards within and across cities, with Mumbai's slum-dwellers faring better. The study identifies characteristics associated with monetary and non-monetary living conditions and underscores the policy implications of these findings.",Better living conditions,Neutral,Yes,,No,Diagnostic,Economy of slums,,,,"Bag, S., & Seth, S. (2016). Understanding Standard of Living and Correlates in Slums: An Analysis using Monetary Versus Multidimensional Approaches in Three Indian Cities. https://basepub.dauphine.fr/handle/123456789/17816",https://basepub.dauphine.fr/handle/123456789/17816
